dailymail.co.uk/, general news, yes, yes, 60201, hashing, post, api.permutive.com, requires_authentication
dailymail.co.uk/, general news, yes, yes, 60201, hashing, get, use1.smartadserver.com, requires_authentication
dailymail.co.uk/, general news, yes, yes, 60201, hashing, get, ny1-bid.adsrvr.org, requires_authentication
dailymail.co.uk/, general news, yes, yes, 60201, hashing, post, hbopenbid.pubmatic.com, requires_authentication
dailymail.co.uk/, general news, yes, yes, 60201, hashing, post, prebid.adnxs.com, requires_authentication
dailymail.co.uk/, general news, yes, yes, NjAyMD, hashing, get, cm.g.doubleclick.net, requires_authentication
dailymail.co.uk/, general news, yes, yes, NjAyMD, hashing, post, prebid.adnxs.com, requires_authentication
dailymail.co.uk/, general news, yes, yes, Evanston, hashing, post, api.permutive.com, requires_authentication
dailymail.co.uk/, general news, yes, yes, Evanston, hashing, post, hbopenbid.pubmatic.com, requires_authentication
dailymail.co.uk/, general news, yes, yes, Evanston, hashing, post, prebid.adnxs.com, requires_authentication
dailymail.co.uk/, general news, yes, yes, Illinois, hashing, post, api.permutive.com, requires_authentication
